id,judul,penulis,penerbit,tahunTerbit,stok,kategori_id
1,Untuk apa seni?,I. Bambang Sugiharto,Unknown,2015,10,1
2,Art in the Hellenistic Age,Jerome Jordan Pollitt,Cambridge University Press,1986,10,1
3,Nunchi: Seni Membaca Pikiran dan Perasaan Orang LainÑRahasia Hidup Bahagia dan Sukses dari Korea,Euny Hong,Gramedia Pustaka Utama,2020,10,1
4,Nail Art,Unknown,PT Gramedia Pustaka Utama,0,10,1
5,American Folk Art for Kids,Richard Panchyk,Chicago Review Press,2004,10,1
6,Primitivism and Twentieth-century Art,"Jack D. Flam, Miriam Deutch",Univ of California Press,2003,10,1
7,Chinese Art in Detail,"Carol Michaelson, Jane Portal",Harvard University Press,2006,10,1
8,Art and Collecting Art (English Edition),Oei Hong Djien,Kepustakaan Populer Gramedia,2012,10,1
9,Lewat Deviant Art,Banjir Duit,Elex Media Komputindo,0,10,1
10,What's Wrong with Contemporary Art?,Peter Timms,UNSW Press,2004,10,1
11,The Art of Forgiving 2,Dimitri Mahayana,Misykat,2024,10,1
12,The Art of Forgiving 1,Unknown,Misykat,2024,10,1
13,"Perawatan Tangan, Kaki, Nail Art, dan Rias Wajah Khusus dan Kreatif SMK/MAK Kelas XII","Dwi Ermavianti Wahyu Sulistyorini, Ani Susilowati",Penerbit Andi,2021,10,1
14,Aplikasi Algorithmic Art Untuk Motif Geometris,Agus Prijono ; Ratnadewi ; Ariesa Pandanwangi,Penerbit YLGI,2022,10,1
15,The Art of War-- Spirituality for Conflict,Unknown,SkyLight Paths Publishing,2008,10,1
16,The Art Firm,Pierre Guillet de Monthoux,Stanford University Press,2004,10,1
17,Introduction to Art Therapy,Judith A. Rubin,Taylor & Francis,2009,10,1
18,Art of Engagement,"Peter Selz, Susan Landauer",Univ of California Press,2006,10,1
19,Komunikasi dengan Pengasuh atau ART,"Aprilina Prastari, M.Si",Elex Media Komputindo,2021,10,1
20,Seri Karya Arsitek - 23 Rumah Art Deco Arie Bakrie,Imelda Akmal Architecture,Gramedia Pustaka Utama,2013,10,1
21,Ribbon Art; Seni Membuat & Merangkai Hiasan dari Pita,Trusti Judiarto,Lingua Kata,2012,10,1
22,The Ancient Art of Emulation,Elaine K. Gazda,University of Michigan Press,2002,10,1
23,"Art in the San Francisco Bay Area, 1945-1980",Thomas Albright,Univ of California Press,1985,10,1
24,Roman Art,Susan Walker,Harvard University Press,1991,10,1
25,"Evolution in Science, Philosophy, and Art",Brooklyn Ethical Association,Unknown,1891,10,1
26,Art in Education,D. Atkinson,Springer Science & Business Media,2002,10,1
27,European Union Law,"Damian Chalmers, Gareth Davies, Giorgio Monti",Cambridge University Press,2010,10,1
28,Seni Bahagia Menjadi Introver (Free Chapter),@sendysaga,GagasMedia,2021,10,1
29,"First Proofs of the Universal Catalogue of Books on Art,.",National Art Library (Great Britain),Unknown,1870,10,1
30,Peruvian Art,Charles Williams Mead,Unknown,1929,10,1
31,The Great Art of Government,Peter Josephson,Unknown,2002,10,1
32,Sacred and Legendary Art,Mrs. Jameson (Anna),Unknown,1890,10,1
33,"The Eclectic Magazine of Foreign Literature, Science, and Art",Unknown,Unknown,1892,10,1
34,"On Science and Art as a branch of national education. [Reprinted from the Transactions of the Devonshire Association for the advancement of Science, etc.]",Edward VIVIAN,Unknown,1869,10,1
35,Ethnographical Studies in Celebes: Art in central Celebes,Walter Alexander Kaudern,Unknown,1944,10,1
36,"A history of Greek art, with an introductory chapter on art in...",Frank Bigelow Tarbell,Unknown,1896,10,1
37,"Lectures on Art, Delivered Before the University of Oxford in Hilary Term, 1870",John Ruskin,Unknown,1874,10,1
38,"Art and Handicraft in the Woman's Building of the World's Columbian Exposition, Chicago, 1893",Maud Howe Elliott,Unknown,1893,10,1
39,"Art, Activism, and Oppositionality",Grant H. Kester,Duke University Press,1998,10,1
40,"The Saturday Review of Politics, Literature, Science and Art",Unknown,Unknown,1881,10,1
41,30 Biography Book Reports,Deborah Rovin-Murphy,Scholastic Inc.,2001,10,2
42,Biography in Theory,"Wilhelm Hemecker, Edward Saunders",Walter de Gruyter GmbH & Co KG,2017,10,2
43,A Companion to Literary Biography,Richard Bradford,John Wiley & Sons,2018,10,2
44,Auto/Biography across the Americas,Ricia A. Chansky,Routledge,2016,10,2
45,The Biography Book,Daniel S. Burt,Bloomsbury Publishing USA,2001,10,2
46,The Art of Biography in Antiquity,Tomas Hägg,Cambridge University Press,2012,10,2
47,The Seductions of Biography,"David Suchoff, Mary Rhiel",Routledge,2016,10,2
48,Biography and the Question of Literature in France,Ann Jefferson,OUP Oxford,2007,10,2
49,"Melancholy and Literary Biography, 1640-1816",J. Darcy,Springer,2013,10,2
50,Sacred Biography in the Buddhist Traditions of South and Southeast Asia,Juliane Schober,Motilal Banarsidass Publ.,2002,10,2
51,Greatest Indian Women Leaders Reads : Biography of Annie Besant/Biography of Indira Gandhi/Biography of Madam Bhikaji Cama/Biography of Sarojani Naidu/Biography of M.S. Subbalakshmi/Biography of Subhdara K Chauhan,"Praveen,Manish,Kapil,Sachin Sinhal,Manish Kumar 'Santosh'",Prabhat Prakashan,2022,10,2
52,Biography-Driven Culturally Responsive Teaching,Socorro G. Herrera,Teachers College Press,2015,10,2
53,Dictionary of National Biography,"Leslie Stephen, Sir Sidney Lee",Unknown,1895,10,2
